SSBSECT_SUBJ_CODE,SSBSECT_CRSE_NUMB,SSBSECT_TERM_CODE,SSBSECT_CRN,SSRATTR_TERM_CODE,SSRATTR_CRN,SSRATTR_ATTR_CODE,SSRATTR_ACTIVITY_DATE
CHM,104L,202110,10190,202110,10190,100L,2020/02/14
CHM,104L,202110,10196,202110,10196,100L,2020/02/14
CHM,104L,202110,10197,202110,10197,100L,2020/02/14
CHM,104L,202110,10198,202110,10198,100L,2020/02/14
CHM,104L,202110,10199,202110,10199,100L,2020/02/14
CHM,104L,202110,10200,202110,10200,100L,2020/02/14
CHM,304,202110,10218,202110,10218,W,2020/02/14
CLA,104,202110,10041,202110,10041,A6,2020/01/17
CLA,104,202110,10041,202110,10041,CC,2020/01/17
CLA,104,202110,10041,202110,10041,MOIB,2020/01/17
COM,110,202110,10185,202110,10185,A2,2020/02/14
COM,110,202110,10185,202110,10185,CC,2020/02/14
COM,110,202110,10185,202110,10185,MOIC,2020/02/14
COM,110L,202110,10186,202110,10186,100L,2020/02/14
COM,110L,202110,10188,202110,10188,100L,2020/02/14
COM,212,202110,10192,202110,10192,MOIC,2020/02/14
COM,212,202110,10193,202110,10193,MOIC,2020/02/14
COM,214,202110,10194,202110,10194,A2,2020/02/14
COM,214,202110,10194,202110,10194,MOIC,2020/02/14
COM,219,202110,10202,202110,10202,MOIC,2020/02/14
CRE,165,202110,10370,202110,10370,A5,2020/02/24
CRE,165,202110,10370,202110,10370,MOIA,2020/02/24
CRE,253,202110,10114,202110,10114,A4,2020/02/07
CRE,253,202110,10114,202110,10114,MOIB,2020/02/07
CRE,253,202110,10114,202110,10114,MOIE,2020/02/07
CRE,253,202110,10114,202110,10114,W,2020/02/07
CRE,310,202110,10239,202110,10239,A3,2020/02/14
CRE,310,202110,10239,202110,10239,MOIE,2020/02/14
DAN,125,202110,10363,202110,10363,MOIA,2020/02/24
DAN,151,202110,10364,202110,10364,MOIA,2020/06/24
DAN,162,202110,10555,202110,10555,MOIA,2020/06/24
DAN,165,202110,10367,202110,10367,A5,2020/02/24
DAN,165,202110,10367,202110,10367,MOIA,2020/02/24
DAN,222,202110,10365,202110,10365,MOIA,2020/06/24
DAN,340,202110,10371,202110,10371,A4,2020/02/24
DAN,340,202110,10371,202110,10371,MOIB,2020/02/24
DAN,340,202110,10371,202110,10371,MOIE,2020/02/24
DAN,494,202110,10561,202110,10561,MOIA,2020/03/18
EAS,101,202110,10111,202110,10111,A4,2020/02/07
EAS,101,202110,10111,202110,10111,W,2020/02/07
EAS,203,202110,10064,202110,10064,A7,2020/01/30
EAS,203,202110,10064,202110,10064,MOIE,2020/01/30
EAS,253,202110,10112,202110,10112,A4,2020/02/07
EAS,253,202110,10112,202110,10112,MOIB,2020/02/07
EAS,253,202110,10112,202110,10112,MOIE,2020/02/07
EAS,253,202110,10112,202110,10112,W,2020/02/07
EAS,314,202110,10116,202110,10116,MOIB,2020/02/07
EAS,314,202110,10116,202110,10116,MOIE,2020/02/07
EAS,314,202110,10116,202110,10116,SDP,2020/03/30
EAS,428,202110,10096,202110,10096,A7,2020/02/04
EAS,428,202110,10096,202110,10096,MOIE,2020/02/04
EAS,428,202110,10096,202110,10096,W,2020/02/04
EAS,493E,202110,10536,202110,10536,A4,2020/03/16
EAS,493E,202110,10536,202110,10536,MOIB,2020/03/16
EAS,493E,202110,10536,202110,10536,MOIE,2020/03/16
EAS,493E,202110,10536,202110,10536,W,2020/03/16
ECO,111,202110,10126,202110,10126,A3,2020/02/10
ECO,111,202110,10126,202110,10126,MOIE,2020/02/10
ECO,111,202110,10574,202110,10574,A3,2020/03/24
ECO,111,202110,10574,202110,10574,MOIE,2020/03/24
ECO,112,202110,10127,202110,10127,A3,2020/02/10
ECO,112,202110,10127,202110,10127,MOIE,2020/02/10
ECO,112,202110,10128,202110,10128,A3,2020/02/10
ECO,112,202110,10128,202110,10128,MOIE,2020/02/10
ECO,201,202110,10565,202110,10565,MOIE,2020/03/18
ECO,201,202110,10565,202110,10565,W,2020/03/18
ECO,209,202110,10135,202110,10135,MOIC,2020/02/10
ECO,230,202110,10136,202110,10136,MOIC,2020/02/10
ECO,230,202110,10136,202110,10136,W,2020/02/10
ECO,230,202110,10137,202110,10137,MOIC,2020/02/10
ECO,230,202110,10137,202110,10137,W,2020/02/10
ECO,248,202110,10567,202110,10567,MOIE,2020/03/18
ECO,301,202110,10141,202110,10141,A3,2020/02/11
ECO,301,202110,10141,202110,10141,MOIE,2020/02/11
ECO,322,202110,10142,202110,10142,MOIC,2020/02/11
ECO,412,202110,10146,202110,10146,ADVS,2020/02/11
ECO,412,202110,10146,202110,10146,W,2020/02/11
EDU,223,202110,10438,202110,10438,A3,2020/02/28
EDU,223,202110,10438,202110,10438,MOIE,2020/02/28
EDU,223,202110,10438,202110,10438,W,2020/02/28
