Dept,#,Sec,Term Part,CRN,TITLE,Approval Required,Cross Listed,Max Enroll,Actual Enroll,Faculty,Credits,Days1,Time1,Loc1,Days2,Time2,Loc2,Days3,Time3,Loc3,Notes
COM,110L,2,1,10188,INTRO COMP SCI/PROB SOLV LAB,,,28,0,Christine Chung,0,F,1315-1515,HALE  BROWN,,-,,,-,,.
COM,203,1,1,10165,BIOINFORMATICS,,Y,18,0,Stephen Douglass,4,,-,,,-,,,-,,.
COM,212,1,1,10192,DATA STRUCTURES,,,18,0,Gary Parker,4,M W,1025-1140,NLH   214,,-,,,-,,.
COM,212,2,1,10193,DATA STRUCTURES,,,18,0,William Tarimo,4,T R,1025-1140,NLH   214,,-,,,-,,.
COM,213,1,1,10109,ELECTRONICS FOR SCIENTISTS,,Y,10,0,Mohamed Diagne,4,,-,,,-,,,-,,.
COM,214,1,1,10194,WEB TECHNOLOGIES & DEVELOPMENT,,,18,0,William Tarimo,4,T R,1315-1430,NLH   214,,-,,,-,,.
COM,219,1,1,10202,COMPUTER ORGANIZATION,,,18,0,Ozgur Izmirli,4,T R,0900-1015,NLH   214,,-,,,-,,.
COM,307,1,1,10195,MACHINE LEARN/DATA MINING,,,18,0,Stephen Douglass,4,M W,1315-1430,NLH   214,,-,,,-,,.
COM,309,1,1,10203,GRAPHICS & VIRTUAL ENVIRONMNTS,,Y,18,0,S. James Lee,4,T R,1150-1305,NLH   214,,-,,,-,,.
COM,310,1,1,10208,ROBOTICS,,,18,0,Gary Parker,4,M W,1445-1600,NLH   214,,-,,,-,,.
COM,312,1,1,10217,DIGITAL SOUND PROCESSING,,Y,18,0,Ozgur Izmirli,4,T R,1445-1600,OLIN  214,,-,,,-,,.
COM,496,1,1,10223,RESEARCH SEMINAR,,,15,0,S. James Lee,4,M,1900-2145,NLH   200,,-,,,-,,.
COM,496,2,1,10224,RESEARCH SEMINAR,,,15,0,Gary Parker,4,W,1900-2145,NLH   200,,-,,,-,,.
CRE,165,1,1,10370,AFRO-CARIBBEAN DANCE I,,Y,38,0,Rosemarie Roberts,4,M W,1315-1430,CRO   MYERS,,-,,,-,,.
CRE,253,1,1,10114,CHINESE AMERICAN LITERATURE,,Y,28,0,Yibing Huang,4,T R,1445-1600,,,-,,,-,,.
CRE,310,1,1,10239,RACIAL IDENTITY IN AMERICA,,Y,25,0,Cherise Harris,4,T R,1315-1430,,,-,,,-,,.
DAN,102,50,1,10360,INTRODUCTION TO YOGA,,,50,0,Marya Ursin,1,T R,0900-0950,CRO   MYERS,,-,,,-,,.
DAN,103,50,1,10361,PILATES,,,50,0,Alisha Bliss,1,M,1150-1305,CRO   MYERS,,-,,,-,,.
DAN,116,1,1,10362,BALLROOM DANCE,,,38,0,Gregory Duda,1,M,2000-2100,,,-,,,-,,.
DAN,125,1,1,10363,DANCE PRODUCTION,,,18,0,Shawn Hove,2,M,1900-2145,CRO   MYERS,,-,,,-,,.
DAN,151,1,1,10364,MOVERS &SHAKERS,,,25,0,Rachel Boggia,4,T R,1315-1430,CRO   MYERS,,-,,,-,,.
DAN,159,1,1,10554,INTRODUCTION TO BALLET,,,25,0,Shawn Hove,2,M W,1445-1600,CRO   MYERS,,-,,,-,,.
DAN,162,1,1,10555,WEST AFRICAN DANCE I,,,18,0,Shani Collins-Achille,4,T R,1150-1305,CRO   MYERS,,-,,,-,,.
DAN,165,1,1,10367,AFRO-CARIBBEAN DANCE I,,Y,38,0,Rosemarie Roberts,4,M W,1315-1430,CRO   MYERS,,-,,,-,,.
DAN,208,1,1,10556,CHOREOGRAPHY I,,,18,0,Lisa Race,4,T R,1150-1305,CRO   2ND FLOOR,,-,,,-,,.
DAN,222,1,1,10365,COMPOSITIONAL IMPROVISATION,,,25,0,Lisa Race,4,T R,1315-1430,CRO   2ND FLOOR,,-,,,-,,.
DAN,258,1,1,10557,MODERN TECHNIQUE II,,,25,0,David Dorfman,2,T RF,1445-1600,CRO   MYERS,,-,,,-,,.
DAN,259,1,1,10366,BALLET II,,,25,0,Ellie Goudie-Averill,2,M W,1445-1600,CRO   MYERS,,-,,,-,,.
DAN,340,1,1,10371,HISTORY OF DANCE,,,28,0,Rosemarie Roberts,4,M W,0900-1015,CRO   205,M W,0900-1015,CRO   2ND FLOOR,,-,,.
DAN,358,1,1,10558,MODERN TECHNIQUE III,,,25,0,Shani Collins-Achille,2,T RF,1025-1140,CRO   MYERS,,-,,,-,,.
DAN,359,1,1,10559,BALLET III,,,25,0,Ellie Goudie-Averill,2,M W,1315-1430,CRO   MYERS,M W,1315-1430,CRO   2ND FLOOR,,-,,.
DAN,458,1,1,10560,MODERN TECHNIQUE IV,,,25,0,Shani Collins-Achille,2,T RF,1025-1140,CRO   MYERS,,-,,,-,,.
